Author: ;Masato Tajima
Title: ;Characteristic Matrices and Trellis Reduction for Tail-Biting Convolutional Codes
Subjects: ;Information Theory (cs.IT)
Link: ;[18]  arXiv:1705.03982 [pdf, ps, other]




Author: ;Mieczysław A. Kłopotek
Title: ;Distribution of degrees of freedom over structure and motion of rigid bodies
Subjects: ;Computer Vision and Pattern Recognition (cs.CV)
Link: ;[19]  arXiv:1705.03986 [pdf, ps, other]




Author: ;Bingfeng Luo, Yansong Feng, Zheng Wang, Zhanxing Zhu, Songfang Huang, Rui Yan, Dongyan Zhao
Title: ;Learning with Noise: Enhance Distantly Supervised Relation Extraction with Dynamic Transition Matrix
Subjects: ;Computation and Language (cs.CL)
Link: ;[20]  arXiv:1705.03995 [pdf, other]




Author: ;YaoGong Zhang, YingJie Xu, Xin Fan, YuXiang Hong, Jiahui Liu, ZhiCheng He, YaLou Huang, MaoQiang Xie
Title: ;Mining Functional Modules by Multiview-NMF of Phenome-Genome Association
Subjects: ;Learning (cs.LG); Quantitative Methods (q-bio.QM)
Link: ;[21]  arXiv:1705.03998 [pdf, other]




Author: ;Thai-Hoang Pham, Phuong Le-Hong
Title: ;Content-based Approach for Vietnamese Spam SMS Filtering
Subjects: ;Computation and Language (cs.CL)
Link: ;[22]  arXiv:1705.04003 [pdf, ps, other]




Author: ;Rupert Way, François Lafond, J. Doyne Farmer, Fabrizio Lillo, Valentyn Panchenko
Title: ;Wright meets Markowitz: How standard portfolio theory changes when assets are technologies following experience curves
Subjects: ;Economics (q-fin.EC)
Link: ;[1]  arXiv:1705.03423 [pdf, other]




Author: ;Roberto De Luca, Marco Di Mauro, Angelo Falzarano, Adele Naddeo
Title: ;Propensity to spending of an average consumer over a brief period
Subjects: ;General Finance (q-fin.GN)
Link: ;[1]  arXiv:1705.03848 [pdf, ps, other]




Author: ;Yao-Yuan Mao (1), Andrew R. Zentner (1), Risa H. Wechsler (2) ((1) U Pittsburgh/PITT PACC, (2) KIPAC/Stanford/SLAC)
Title: ;Beyond Assembly Bias: Exploring Secondary Halo Biases for Cluster-size Haloes
Subjects: ;Cosmology and Nongalactic Astrophysics (astro-ph.CO)
Link: ;[1]  arXiv:1705.03888 [pdf, other]




Author: ;Asier Lopez-Eiguren, Joanes Lizarraga, Mark Hindmarsh, Jon Urrestilla
Title: ;Cosmic Microwave Background constraints for global strings and global monopoles
Subjects: ;Cosmology and Nongalactic Astrophysics (astro-ph.CO); High Energy Physics - Phenomenology (hep-ph); High Energy Physics - Theory (hep-th)
Link: ;[3]  arXiv:1705.04154 [pdf, other]




Author: ;Yanou Cui, Francesco D'Eramo
Title: ;On the Completeness of Vector Portal Theories: New Insights into the Dark Sector and its Interplay with Higgs Physics
Subjects: ;High Energy Physics - Phenomenology (hep-ph); Cosmology and Nongalactic Astrophysics (astro-ph.CO); High Energy Physics - Experiment (hep-ex); High Energy Physics - Theory (hep-th)
Link: ;[7]  arXiv:1705.03897 (cross-list from hep-ph) [pdf, other]




Author: ;Gabriel Leon
Title: ;Eternal inflation and the quantum birth of cosmic structure
Subjects: ;General Relativity and Quantum Cosmology (gr-qc); Cosmology and Nongalactic Astrophysics (astro-ph.CO)
Link: ;[9]  arXiv:1705.03958 (cross-list from gr-qc) [pdf, ps, other]




Author: ;Arghya Choudhury, Kamila Kowalska, Leszek Roszkowski, Enrico Maria Sessolo, Andrew J. Williams
Title: ;Blind Spots for Direct Detection with Simplified DM Models and the LHC
Subjects: ;High Energy Physics - Phenomenology (hep-ph); Cosmology and Nongalactic Astrophysics (astro-ph.CO); High Energy Physics - Experiment (hep-ex)
Link: ;[10]  arXiv:1705.04230 (cross-list from hep-ph) [pdf, other]




Author: ;Xi-Wang Luo, Kuei Sun, Chuanwei Zhang
Title: ;Spin-tensor--momentum-coupled Bose-Einstein condensates
Subjects: ;Quantum Gases (cond-mat.quant-gas); Quantum Physics (quant-ph)
Link: ;[6]  arXiv:1705.03920 [pdf, other]




Author: ;V. Gurarie
Title: ;The theory of avoided criticality in quantum motion in a random potential in high dimensions
Subjects: ;Disordered Systems and Neural Networks (cond-mat.dis-nn)
Link: ;[7]  arXiv:1705.03923 [pdf, ps, other]




Author: ;Blake C. Stacey
Title: ;Multiscale Structure of More-than-Binary Variables
Subjects: ;Statistical Mechanics (cond-mat.stat-mech); Data Analysis, Statistics and Probability (physics.data-an)
Link: ;[8]  arXiv:1705.03927 [pdf, other]




Author: ;Giuseppe Genovese, Daniele Tantari
Title: ;Overlap synchronisation in multipartite random energy models
Subjects: ;Disordered Systems and Neural Networks (cond-mat.dis-nn); Probability (math.PR)
Link: ;[9]  arXiv:1705.03939 [pdf, ps, other]




Author: ;D.V. Khveshchenko
Title: ;Thickening and sickening the SYK model
Subjects: ;Strongly Correlated Electrons (cond-mat.str-el); High Energy Physics - Theory (hep-th)
Link: ;[11]  arXiv:1705.03956 [pdf, ps, other]




Author: ;Ziemowit Popowicz
Title: ;Lax Representations for Matrix Short Pulse Equations
Subjects: ;Exactly Solvable and Integrable Systems (nlin.SI)
Link: ;[2]  arXiv:1705.04030 [pdf, ps, other]




Author: ;Markus Kowalewski, Kochise Bennett, Shaul Mukamel
Title: ;Monitoring Nonadiabatic Avoided Crossing Dynamics in Molecules by Ultrafast X-Ray Diffraction
Subjects: ;Chemical Physics (physics.chem-ph); Atomic and Molecular Clusters (physics.atm-clus)
Link: ;[10]  arXiv:1705.03978 [pdf, other]




Author: ;Ahmed El-Halawany, Andre Beckus, H. Esat Kondakci, Morgan Monroe, Nafiseh Mohammadian, George K. Atia, Ayman F. Abouraddy
Title: ;Incoherent lensless imaging via coherency back-propagation
Subjects: ;Optics (physics.optics)
Link: ;[11]  arXiv:1705.03993 [pdf, other]




